"id","order","name","is_translated","created_at","updated_at"
1,0,"{""en"":""No Poverty"",""pt-PT"":""Erradicar a Pobreza"",""pt-BR"":""Erradicar a Pobreza"",""es"":""No a la pobreza"",""fr"":""Erradicar a Pobreza""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
2,0,"{""en"":""Zero Hunger"",""pt-PT"":""Erradicar a Fome"",""pt-BR"":""Erradicar a Fome"",""es"":""Hambre cero"",""fr"":""Erradicar a Fome""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
3,0,"{""en"":""Good Health and Well-Being"",""pt-PT"":""Sa\u00fade e Qualidade"",""pt-BR"":""Sa\u00fade e Qualidade"",""es"":""Buena salud y bienestar"",""fr"":""Sa\u00fade e Qualidade""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
4,0,"{""en"":""Quality Education"",""pt-PT"":""Educa\u00e7\u00e3o de Qualidade"",""pt-BR"":""Educa\u00e7\u00e3o de Qualidade"",""es"":""Educaci\u00f3n de calidad"",""fr"":""Educa\u00e7\u00e3o de Qualidade""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
5,0,"{""en"":""Gender Equality"",""pt-PT"":""Igualdade de G\u00e9nero"",""pt-BR"":""Igualdade de G\u00e9nero"",""es"":""Igualdad de g\u00e9nero"",""fr"":""Igualdade de G\u00e9nero""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
6,0,"{""en"":""Clean Water and Sanitation"",""pt-PT"":""\u00c1gua Pot\u00e1vel e Saneamento"",""pt-BR"":""\u00c1gua Pot\u00e1vel e Saneamento"",""es"":""Agua limpia y saneamiento"",""fr"":""\u00c1gua Pot\u00e1vel e Saneamento""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
7,0,"{""en"":""Affordable and Clean Energy"",""pt-PT"":""Energias Renov\u00e1veis e Acess\u00edveis"",""pt-BR"":""Energias Renov\u00e1veis e Acess\u00edveis"",""es"":""Energ\u00eda asequible y limpia"",""fr"":""Energias Renov\u00e1veis e Acess\u00edveis""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
8,0,"{""en"":""Decent Work and Economic Growth"",""pt-PT"":""Trabalho e Crescimento Econ\u00f3mico"",""pt-BR"":""Trabalho e Crescimento Econ\u00f3mico"",""es"":""Trabajo decente y crecimiento econ\u00f3mico"",""fr"":""Trabalho e Crescimento Econ\u00f3mico""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
9,0,"{""en"":""Industry, Innovation and Infrastructure"",""pt-PT"":""Ind\u00fastria, Inova\u00e7\u00e3o e Infraestruturas"",""pt-BR"":""Ind\u00fastria, Inova\u00e7\u00e3o e Infraestruturas"",""es"":""Industria, innovaci\u00f3n e infraestructura"",""fr"":""Ind\u00fastria, Inova\u00e7\u00e3o e Infraestruturas""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
10,0,"{""en"":""Reduced Inequalities"",""pt-PT"":""Reduzir as Desigualdades"",""pt-BR"":""Reduzir as Desigualdades"",""es"":""Reducci\u00f3n de las desigualdades"",""fr"":""Reduzir as Desigualdades""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
11,0,"{""en"":""Sustainable Cities and Communities"",""pt-PT"":""Cidades e Comunidades Sustent\u00e1veis"",""pt-BR"":""Cidades e Comunidades Sustent\u00e1veis"",""es"":""Ciudades y comunidades sostenibles"",""fr"":""Cidades e Comunidades Sustent\u00e1veis""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
12,0,"{""en"":""Responsible Consumption and Production"",""pt-PT"":""Produ\u00e7\u00e3o e Consumo Sustent\u00e1veis"",""pt-BR"":""Produ\u00e7\u00e3o e Consumo Sustent\u00e1veis"",""es"":""Consumo y producci\u00f3n responsables"",""fr"":""Produ\u00e7\u00e3o e Consumo Sustent\u00e1veis""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
13,0,"{""en"":""Climate Action"",""pt-PT"":""A\u00e7\u00e3o Clim\u00e1tica"",""pt-BR"":""A\u00e7\u00e3o Clim\u00e1tica"",""es"":""Acci\u00f3n por el clima"",""fr"":""A\u00e7\u00e3o Clim\u00e1tica""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
14,0,"{""en"":""Life Bellow Water"",""pt-PT"":""Proteger a Vida Marinha"",""pt-BR"":""Proteger a Vida Marinha"",""es"":""Vida bajo el agua"",""fr"":""Proteger a Vida Marinha""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
15,0,"{""en"":""Life on Land"",""pt-PT"":""Proteger a Vida Terrestre"",""pt-BR"":""Proteger a Vida Terrestre"",""es"":""La vida en la tierra"",""fr"":""Proteger a Vida Terrestre""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
16,0,"{""en"":""Peace, Justice and Strong Institutions"",""pt-PT"":""Paz, Justi\u00e7a e Institui\u00e7\u00f5es Eficazes"",""pt-BR"":""Paz, Justi\u00e7a e Institui\u00e7\u00f5es Eficazes"",""es"":""Paz, justicia e instituciones fuertes"",""fr"":""Paz, Justi\u00e7a e Institui\u00e7\u00f5es Eficazes""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
17,0,"{""en"":""Partnerships for the Goals"",""pt-PT"":""Parcerias para Implementa\u00e7\u00e3o dos Objetivos"",""pt-BR"":""Parcerias para Implementa\u00e7\u00e3o dos Objetivos"",""es"":""Alianzas para los objetivos"",""fr"":""Parcerias para Implementa\u00e7\u00e3o dos Objetivos""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":false}","2022-05-23T04:51:23.000Z","2022-11-15T12:00:50.000Z"
