"id","note","only","parent_id","name","is_translated","created_at","updated_at","deleted_at","except"
1,,,,"{""en"":""Energy"",""pt-PT"":""Energia"",""pt-BR"":""Energia"",""es"":""Energ\u00eda"",""fr"":""\u00c9nergie""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-05-23T04:51:22.000Z",,
2,,,1,"{""en"":""Oil & Gas Drilling"",""pt-PT"":""Perfura\u00e7\u00e3o de po\u00e7os de Petr\u00f3leo e G\u00e1s"",""pt-BR"":""Perfura\u00e7\u00e3o de Po\u00e7os de Petr\u00f3leo e G\u00e1s"",""es"":""Perforaci\u00f3n de petr\u00f3leo y gas"",""fr"":""Forage p\u00e9trolier et gazier""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-11-10T08:55:24.000Z",,
3,,,1,"{""en"":""Oil & Gas Equipment & Services"",""pt-PT"":""Equipamento e Servi\u00e7os de Petr\u00f3leo e G\u00e1s"",""pt-BR"":""Equipamentos e Servi\u00e7os de Petr\u00f3leo e G\u00e1s"",""es"":""Equipos y servicios para el petr\u00f3leo y el gas"",""fr"":""\u00c9quipement et services pour le p\u00e9trole et le gaz""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-11-10T08:55:24.000Z",,
4,,,1,"{""en"":""Integrated Oil & Gas "",""pt-PT"":""Petr\u00f3leo e G\u00e1s integrados "",""pt-BR"":""Petr\u00f3leo e G\u00e1s Integrado"",""es"":""Petr\u00f3leo y gas integrado "",""fr"":""P\u00e9trole et gaz int\u00e9gr\u00e9s ""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-11-10T08:55:24.000Z",,
5,,,1,"{""en"":""Oil & Gas Exploration & Production"",""pt-PT"":""Explora\u00e7\u00e3o e Produ\u00e7\u00e3o de Petr\u00f3leo e G\u00e1s"",""pt-BR"":""Explora\u00e7\u00e3o e Produ\u00e7\u00e3o de Petr\u00f3leo e G\u00e1s"",""es"":""Exploraci\u00f3n y producci\u00f3n de petr\u00f3leo y gas"",""fr"":""Exploration et production de p\u00e9trole et de gaz""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-05-23T04:51:22.000Z",,
6,,,1,"{""en"":""Oil & Gas Refining & Marketing"",""pt-PT"":""Refina\u00e7\u00e3o e comercializa\u00e7\u00e3o de petr\u00f3leo e g\u00e1s"",""pt-BR"":""Refina\u00e7\u00e3o e Comercializa\u00e7\u00e3o de Petr\u00f3leo e G\u00e1s"",""es"":""Refinaci\u00f3n y comercializaci\u00f3n de petr\u00f3leo y gas"",""fr"":""Raffinage et commercialisation du p\u00e9trole et du gaz""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-11-10T08:55:24.000Z",,
7,,,1,"{""en"":""Oil & Gas Storage & Transportation"",""pt-PT"":""Armazenamento e Transporte de Petr\u00f3leo e G\u00e1s"",""pt-BR"":""Armazenamento e Transporte de Petr\u00f3leo e G\u00e1s"",""es"":""Almacenamiento y transporte de petr\u00f3leo y gas"",""fr"":""Stockage et transport du p\u00e9trole et du gaz""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-05-23T04:51:22.000Z",,
8,,,1,"{""en"":""Coal & Consumable Fuels"",""pt-PT"":""Carv\u00e3o e Combust\u00edveis de Consumo"",""pt-BR"":""Carv\u00e3o e Combust\u00edveis de Consumo"",""es"":""Carb\u00f3n y combustibles consumibles"",""fr"":""Charbon et combustibles consommables""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-05-23T04:51:22.000Z",,
9,,,,"{""en"":""Materials"",""pt-PT"":""Materiais"",""pt-BR"":""Materiais"",""es"":""Materiales"",""fr"":""Mat\u00e9riaux""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-05-23T04:51:22.000Z",,
10,,,9,"{""en"":""Commodity Chemicals"",""pt-PT"":""Produtos qu\u00edmicos gen\u00e9ricos"",""pt-BR"":""Produtos Qu\u00edmicos Gen\u00e9ricos"",""es"":""Productos qu\u00edmicos b\u00e1sicos"",""fr"":""Produits chimiques de base""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2022-11-10T08:55:24.000Z",,
